Carbon concentration / (weight%);Silicon concentration / (weight%);Manganese concentration / (weight%);Sulphur concentration / (weight%);Phosphorus concentration / (weight%);Nickel concentration / (weight%);Chromium concentration / (weight%);Molybdenum concentration / (weight%);Vanadium concentration / (weight%);Copper concentration / (weight%);Cobalt concentration / (weight%);Tungsten concentration / (weight%);Oxygen concentration / parts per million by weight;Titanium concentration / parts per million by weight;Nitrogen concentration / parts per million by weight;Aluminium concentration / parts per million by weight;Boron concentration / parts per million by weight;Niobium concentration / parts per million by weight;Tin concentration / parts per million by weight;Arsenic concentration / parts per million by weight;Antimony concentration / parts per million by weight;Current / A;Voltage / V;AC or DC;Electrode positive or negative;Heat input / kJ/mm;Interpass temperature / deg C;Type of weld ;Post weld heat treatment temperature / deg C;Post weld heat treatment time / hours;Yield strength / MPa;Ultimate tensile strength / MPa;Elongation / %;Reduction of Area / %;Charpy temperature / deg C;Charpy impact toughness / J;Hardness / kg/mm2;50 % FATT;Primary ferrite in microstructure / %;Ferrite with second phase / %;Acicular ferrite / %;Martensite / %;Ferrite with carbide aggreagate / %;Weld ID
0.037;0.3;0.65;0.008;0.012;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;392;466;31.9;80.6;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Aaw
0.037;0.3;0.65;0.008;0.012;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-28;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Aawch
0.037;0.3;0.65;0.008;0.012;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;370;456;35.2;80.6;-38;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Aht
0.037;0.31;1.03;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;413;498;31.2;80.6;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Baw
0.037;0.31;1.03;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-48;100;None;None;32;28;40;0;0;Evans-Ni/CMn-1990/1991-0Bawch
0.037;0.31;1.03;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;402;490;31;80.6;-44;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Bht
0.044;0.35;1.43;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;468;551;29.4;78.7;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Caw
0.044;0.35;1.43;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-53;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Cawch
0.044;0.35;1.43;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;436;529;31.6;78.8;-58;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Cht
0.045;0.33;1.85;0.007;0.016;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;514;588;28;76.8;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Daw
0.045;0.33;1.85;0.007;0.016;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-38;100;None;None;13;17;60;0;0;Evans-Ni/CMn-1990/1991-0Dawch
0.045;0.33;1.85;0.007;0.016;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;479;576;27.4;76.9;-40;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Dht
